,time,degree,20,15,10,5,0
0,0,30,0,0,0,0,0.000
1,3,30,0.289,0.235,0.295,0.295,0.279
2,6,30,0.438,0.391,0.445,0.446,0.430
3,9,30,0.512,0.475,0.518,0.519,0.506
4,12,30,0.556,0.527,0.562,0.562,0.552
5,15,30,0.586,0.562,0.591,0.591,0.583
6,18,30,0.607,0.588,0.611,0.612,0.605
7,21,30,0.607,0.588,0.611,0.612,0.604
8,24,30,0.702,0.646,0.68,0.667,0.604
9,27,32.0 ,0.769,0.718,0.742,0.724,0.604
10,30,35.0 ,0.795,0.752,0.765,0.747,0.604
11,33,38.0 ,0.812,0.773,0.778,0.757,0.604
12,36,41.0 ,0.825,0.789,0.787,0.764,0.604
13,39,44.0 ,0.839,0.803,0.797,0.769,0.604
14,42,47.0 ,0.852,0.817,0.807,0.775,0.604
15,45,50.0 ,0.867,0.833,0.819,0.783,0.604
16,48,53.0 ,0.881,0.848,0.833,0.793,0.604
17,51,56.0 ,0.894,0.863,0.848,0.805,0.604
18,54,59.0 ,0.905,0.877,0.861,0.819,0.604
19,57,60,0.913,0.889,0.875,0.835,0.604
20,60,60,0.921,0.9,0.888,0.852,0.604
21,63,60,0.926,0.907,0.898,0.866,0.604
22,66,60,0.929,0.913,0.904,0.876,0.604
23,69,60,0.932,0.917,0.909,0.884,0.604
24,72,60,0.933,0.92,0.912,0.891,0.604
25,75,60,0.935,0.922,0.915,0.896,0.604
26,78,60,0.936,0.923,0.917,0.9,0.604
27,81,60,0.936,0.925,0.919,0.903,0.604
28,84,60,0.937,0.926,0.92,0.905,0.604
29,87,60,0.938,0.927,0.921,0.907,0.604
30,90,60,0.938,0.928,0.922,0.909,0.604
31,93,60,0.939,0.928,0.923,0.911,0.604
32,96,60,0.939,0.929,0.923,0.912,0.604
33,99,60,0.94,0.93,0.924,0.913,0.604
34,102,60,0.94,0.93,0.924,0.914,0.604
35,105,60,0.94,0.931,0.925,0.915,0.604
36,108,60,0.941,0.931,0.925,0.916,0.604
37,111,60,0.941,0.932,0.926,0.916,0.604
38,114,60,0.941,0.932,0.926,0.917,0.604
39,117,60,0.941,0.932,0.926,0.917,0.604
40,120,60,0.941,0.932,0.927,0.918,0.604
