,time,temperature,Na2SO4,Na2CO3,target
132,78.0,60.0,10.0,10,0.845
133,78.0,60.0,10.0,15,0.877
134,78.0,60.0,10.0,20,0.899
135,81.0,60.0,10.0,0,0.434
136,81.0,60.0,10.0,5,0.787
137,81.0,60.0,10.0,10,0.8490000000000001
138,81.0,60.0,10.0,15,0.879
139,81.0,60.0,10.0,20,0.9
140,84.0,60.0,10.0,0,0.434
141,84.0,60.0,10.0,5,0.7929999999999999
142,84.0,60.0,10.0,10,0.851
143,84.0,60.0,10.0,15,0.88
144,84.0,60.0,10.0,20,0.9009999999999999
145,87.0,60.0,10.0,0,0.434
146,87.0,60.0,10.0,5,0.797
147,87.0,60.0,10.0,10,0.853
148,87.0,60.0,10.0,15,0.882
149,87.0,60.0,10.0,20,0.902
150,90.0,60.0,10.0,0,0.434
151,90.0,60.0,10.0,5,0.802
152,90.0,60.0,10.0,10,0.855
153,90.0,60.0,10.0,15,0.883
154,90.0,60.0,10.0,20,0.903
155,93.0,60.0,10.0,0,0.434
156,93.0,60.0,10.0,5,0.805
157,93.0,60.0,10.0,10,0.857
158,93.0,60.0,10.0,15,0.884
159,93.0,60.0,10.0,20,0.904
160,96.0,60.0,10.0,0,0.434
161,96.0,60.0,10.0,5,0.8079999999999999
162,96.0,60.0,10.0,10,0.858
163,96.0,60.0,10.0,15,0.885
164,96.0,60.0,10.0,20,0.904
165,99.0,60.0,10.0,0,0.434
166,99.0,60.0,10.0,5,0.8109999999999999
167,99.0,60.0,10.0,10,0.8590000000000001
168,99.0,60.0,10.0,15,0.8859999999999999
169,99.0,60.0,10.0,20,0.905
170,102.0,60.0,10.0,0,0.434
171,102.0,60.0,10.0,5,0.813
172,102.0,60.0,10.0,10,0.86
173,102.0,60.0,10.0,15,0.887
174,102.0,60.0,10.0,20,0.905
175,105.0,60.0,10.0,0,0.434
176,105.0,60.0,10.0,5,0.815
177,105.0,60.0,10.0,10,0.861
178,105.0,60.0,10.0,15,0.887
179,105.0,60.0,10.0,20,0.9059999999999999
180,108.0,60.0,10.0,0,0.434
181,108.0,60.0,10.0,5,0.8170000000000001
182,108.0,60.0,10.0,10,0.862
183,108.0,60.0,10.0,15,0.888
184,108.0,60.0,10.0,20,0.9059999999999999
185,111.0,60.0,10.0,0,0.434
186,111.0,60.0,10.0,5,0.818
187,111.0,60.0,10.0,10,0.863
188,111.0,60.0,10.0,15,0.888
189,111.0,60.0,10.0,20,0.9059999999999999
190,114.0,60.0,10.0,0,0.434
191,114.0,60.0,10.0,5,0.82
192,114.0,60.0,10.0,10,0.863
193,114.0,60.0,10.0,15,0.889
194,114.0,60.0,10.0,20,0.907
195,117.0,60.0,10.0,0,0.434
196,117.0,60.0,10.0,5,0.821
197,117.0,60.0,10.0,10,0.8640000000000001
198,117.0,60.0,10.0,15,0.889
199,117.0,60.0,10.0,20,0.907
200,120.0,60.0,10.0,0,0.434
201,120.0,60.0,10.0,5,0.8220000000000001
202,120.0,60.0,10.0,10,0.8640000000000001
203,120.0,60.0,10.0,15,0.89
204,120.0,60.0,10.0,20,0.9079999999999999
205,0.0,30.0,30.0,0,0.0
206,0.0,30.0,30.0,5,0.0
207,0.0,30.0,30.0,10,0.0
208,0.0,30.0,30.0,15,0.0
209,0.0,30.0,30.0,20,0.0
210,3.0,30.0,30.0,0,0.27899999999999997
211,3.0,30.0,30.0,5,0.295
212,3.0,30.0,30.0,10,0.295
213,3.0,30.0,30.0,15,0.235
214,3.0,30.0,30.0,20,0.289
215,6.0,30.0,30.0,0,0.43
216,6.0,30.0,30.0,5,0.446
217,6.0,30.0,30.0,10,0.445
218,6.0,30.0,30.0,15,0.391
219,6.0,30.0,30.0,20,0.43799999999999994
220,9.0,30.0,30.0,0,0.506
221,9.0,30.0,30.0,5,0.519
222,9.0,30.0,30.0,10,0.518
223,9.0,30.0,30.0,15,0.475
224,9.0,30.0,30.0,20,0.512
225,12.0,30.0,30.0,0,0.552
226,12.0,30.0,30.0,5,0.562
227,12.0,30.0,30.0,10,0.562
228,12.0,30.0,30.0,15,0.527
229,12.0,30.0,30.0,20,0.556
230,15.0,30.0,30.0,0,0.583
231,15.0,30.0,30.0,5,0.591
232,15.0,30.0,30.0,10,0.591
233,15.0,30.0,30.0,15,0.562
234,15.0,30.0,30.0,20,0.586
235,18.0,30.0,30.0,0,0.605
236,18.0,30.0,30.0,5,0.612
237,18.0,30.0,30.0,10,0.611
238,18.0,30.0,30.0,15,0.588
239,18.0,30.0,30.0,20,0.607
240,21.0,30.0,30.0,0,0.604
241,21.0,30.0,30.0,5,0.612
242,21.0,30.0,30.0,10,0.611
243,21.0,30.0,30.0,15,0.588
244,21.0,30.0,30.0,20,0.607
245,24.0,30.0,30.0,0,0.604
246,24.0,30.0,30.0,5,0.667
247,24.0,30.0,30.0,10,0.68
248,24.0,30.0,30.0,15,0.6459999999999999
249,24.0,30.0,30.0,20,0.7020000000000001
250,27.0,32.0,30.0,0,0.604
251,27.0,32.0,30.0,5,0.7240000000000001
252,27.0,32.0,30.0,10,0.742
253,27.0,32.0,30.0,15,0.718
254,27.0,32.0,30.0,20,0.769
255,30.0,35.0,30.0,0,0.604
256,30.0,35.0,30.0,5,0.747
257,30.0,35.0,30.0,10,0.765
258,30.0,35.0,30.0,15,0.752
259,30.0,35.0,30.0,20,0.795
260,33.0,38.0,30.0,0,0.604
261,33.0,38.0,30.0,5,0.757
262,33.0,38.0,30.0,10,0.778
263,33.0,38.0,30.0,15,0.773
264,33.0,38.0,30.0,20,0.812
265,36.0,41.0,30.0,0,0.604
266,36.0,41.0,30.0,5,0.764
267,36.0,41.0,30.0,10,0.787
268,36.0,41.0,30.0,15,0.789
269,36.0,41.0,30.0,20,0.825
270,39.0,44.0,30.0,0,0.604
271,39.0,44.0,30.0,5,0.769
272,39.0,44.0,30.0,10,0.797
273,39.0,44.0,30.0,15,0.8029999999999999
274,39.0,44.0,30.0,20,0.8390000000000001
275,42.0,47.0,30.0,0,0.604
276,42.0,47.0,30.0,5,0.775
277,42.0,47.0,30.0,10,0.807
278,42.0,47.0,30.0,15,0.8170000000000001
279,42.0,47.0,30.0,20,0.852
280,45.0,50.0,30.0,0,0.604
281,45.0,50.0,30.0,5,0.7829999999999999
282,45.0,50.0,30.0,10,0.8190000000000001
283,45.0,50.0,30.0,15,0.833
284,45.0,50.0,30.0,20,0.867
285,48.0,53.0,30.0,0,0.604
286,48.0,53.0,30.0,5,0.7929999999999999
287,48.0,53.0,30.0,10,0.833
288,48.0,53.0,30.0,15,0.848
289,48.0,53.0,30.0,20,0.8809999999999999
290,51.0,56.0,30.0,0,0.604
291,51.0,56.0,30.0,5,0.805
292,51.0,56.0,30.0,10,0.848
293,51.0,56.0,30.0,15,0.863
294,51.0,56.0,30.0,20,0.894
295,54.0,59.0,30.0,0,0.604
296,54.0,59.0,30.0,5,0.8190000000000001
297,54.0,59.0,30.0,10,0.861
298,54.0,59.0,30.0,15,0.877
299,54.0,59.0,30.0,20,0.905
300,57.0,60.0,30.0,0,0.604
301,57.0,60.0,30.0,5,0.835
302,57.0,60.0,30.0,10,0.875
303,57.0,60.0,30.0,15,0.889
304,57.0,60.0,30.0,20,0.9129999999999999
305,60.0,60.0,30.0,0,0.604
306,60.0,60.0,30.0,5,0.852
307,60.0,60.0,30.0,10,0.888
308,60.0,60.0,30.0,15,0.9
309,60.0,60.0,30.0,20,0.9209999999999999
310,63.0,60.0,30.0,0,0.604
311,63.0,60.0,30.0,5,0.866
312,63.0,60.0,30.0,10,0.898
313,63.0,60.0,30.0,15,0.907
314,63.0,60.0,30.0,20,0.9259999999999999
315,66.0,60.0,30.0,0,0.604
316,66.0,60.0,30.0,5,0.8759999999999999
